키워드,빈도수
위성,181
숱하다,180
이동,180
총장,180
내세우다,180
심하다,179
나타내다,179
활약,179
절반,179
전철,179
교체,179
승화,179
새기다,179
선수단,179
최후,179
코리아,179
상반기,179
문제점,179
한중,178
기념일,178
허물다,178
뒤떨어지다,178
여수,178
저지르다,178
학술,178
내수,178
축원,178
기독교,177
속하다,177
고등학교,177
교회,177
따지다,177
괄목,176
근원,176
인명,176
동반,176
이래,176
추방,176
대항,176
나쁘다,176
심의,176
주저,176
가교,176
근간,175
군기,175
야기,175
준수,175
제주도,175
허락,175
지도력,174
실행,174
약하다,174
강제,174
네덜란드,174
충족,174
잡히다,174
물류,174
귀하다,174
당선,174
원활,174
심지어,173
체감,173
출발점,173
수락,173
이산가족,173
파리,173
담기다,173
단기,173
찬사,173
국가관,173
극대,172
더불어,172
격동,172
급변,172
오염,172
토론회,172
심정,172
오해,172
전시,172
합하다,172
심각하다,172
악화,171
군비,171
권한,171
관점,171
필리핀,171
자손,171
직분,171
포괄,171
여름,171
개개인,171
업체,171
확정,171
나날이,171
미리,170
근래,170
증명,170
적군,169
유능,169
명령,169
소년,169
점령,169
차세대,169
맞서다,169
머물다,169
강원도,169
해내다,169
인물,169
전파,169
단호히,168
시국,168
제주,168
멈추다,168
인종,168
부하,168
근절,168
광복절,168
지켜보다,168
아니하다,168
돌파,168
압도,167
하느님,167
단속,167
철학,167
아들,167
우크라이나,166
치료,166
중립,166
올바로,166
헌정사,166
일각,166
배경,166
과학자,166
상업,166
광역,165
굉장히,165
이외,165
한데,165
묵묵히,165
무리,165
문호,165
낙동강,165
교사,165
돌보다,165
공감대,165
원료,164
보수,164
그날,164
강요,164
구국,164
정국,164
광장,164
낙후,164
해상,164
편의,164
독자,164
프로젝트,164
장려,164
벌어지다,164
고조,164
주거,164
배치,163
명실상부,163
사우디,163
보조,163
용의,163
대선,163
일하다,163
당사자,163
요즈음,163
성탄절,163
선제,162
증거,162
심리,162
수렴,162
국립,162
손실,162
군수,162
단체장,162
지난달,162
이른바,161
연방,161
논리,161
알맞다,161
자급,161
부품,161
국산,161
선봉,161
매일,161
조달,161
소개,161
여정,161
그리,161
서구,161
리더십,160
충만,160
환산,160
원자재,160
제외,160
찾아오다,160
충무공,160
단일,160
매듭,160
민심,160
처지,160
일면,160
감명,160
가공,160
각층,160
위업,159
서해안,159
급격히,159
고급,159
권익,158
조심,158
낮추다,158
총선거,158
도저히,158
전북,158
솔선,158
수급,158
솔선수범,158
모국,158
행정부,158
파트너십,158
카자흐스탄,158
