키워드,빈도수
급속히,340
너무나,340
국운,340
항구,340
호응,339
대선,338
규범,338
범위,338
단절,338
원수,338
권한,337
집권,337
재생,337
담기다,337
이동,336
중남미,336
선전,335
미루다,335
치료,335
합동,334
만전,331
가르치다,331
실감,331
소중하다,331
들이다,331
속히,330
전제,330
철학,330
일구다,330
프로젝트,330
벌이다,330
즉각,330
고령,330
주거,329
초래,329
실력,329
되살리다,329
스타트업,328
꿈꾸다,328
결집,328
자라다,327
허용,327
헌장,327
기풍,327
헌정,327
지리,327
위주,326
향후,326
명실상부,326
환자,325
실제로,325
데이터,325
소임,325
지시,325
군사력,325
마디,324
실적,324
다행히,324
선출,324
완벽,324
전남,323
초석,323
협회,323
멈추다,323
변혁,322
다루다,322
호혜,322
소신,322
나쁘다,322
축배,322
업체,322
학원,322
피땀,322
기상,322
적응,322
활짝,321
선조,321
또다시,321
강대국,321
교체,321
기약,320
나머지,320
정예,319
제일,319
선두,319
최소,319
정통,319
거점,319
통치,319
기업가,318
식품,318
보람차다,317
기리다,317
어업,317
분석,316
지정,316
중산,316
바라보다,316
선배,316
개도국,315
당선,315
대중,315
검찰,315
발견,315
간곡히,315
태국,314
이뤄지다,314
대안,314
처우,313
심정,313
진작,313
근절,313
간직,313
대가,312
영화,312
기술력,312
이정표,312
건립,311
책임자,311
저해,311
감안,311
철수,310
중화학,310
주권,310
우뚝,310
물려주다,308
가을,308
설정,308
수산,308
국교,307
명복,307
수상자,307
단순,307
애로,307
감정,307
과시,306
도상국,306
한인,306
희망차다,306
실명,306
일방,306
외부,305
적대,305
역군,305
입증,304
고무,304
중심지,304
소요,303
타결,303
유착,303
일단,303
미흡,303
지상,303
가리다,303
결론,302
절대로,302
일시,302
휴전선,302
부강,301
일깨우다,301
새삼,300
위축,300
출발점,300
선제,300
단위,300
경북,300
감격,300
시험,300
보존,299
밑거름,299
고생,299
소식,298
정기,298
피해자,298
안기다,298
동반,298
가동,297
항쟁,297
가로막다,297
오가다,296
도처,296
발걸음,295
벅차다,294
굉장히,294
꽃피우다,294
때로,294
카자흐스탄,294
선수단,294
협의회,293
개념,293
뛰어넘다,293
토지,292
몽골,292
오로지,291
찬사,291
그냥,291
단순히,291
자영업자,290
움직이다,290
강원도,290
직시,290
코리아,290
재개,289
주인공,289
비단,289
타개,289
교회,289
전당,289
간담회,288
물자,288
장차,288
새기다,287
한글,287
살피다,287
이하,287
투표,287
도와주다,287
이룩,286
베를린,286
