키워드,빈도수
일시,65
환율,65
조림,65
거짓,65
수리,65
추앙,65
목장,65
주의자,65
따라서다,65
사항,64
여행,64
전문,64
단속,64
기업가,64
광주,64
작년도,64
전연,64
업무,64
주축,64
전후,64
창당,64
전면,64
위시,64
앙양,64
심혈,64
노선,64
인플레,64
만전,64
능동,64
자족,64
풍요,64
어언,64
정체,63
떠들다,63
똑바로,63
개념,63
실효,63
그날,63
운운,63
초청,63
절반,63
드높이다,63
계열,63
두말,63
병진,63
충성,63
명백히,63
재발,63
부지런히,63
보수,63
동해안,63
시급히,63
진리,63
부작용,63
후퇴,62
보전,62
정기,62
중간,62
체육인,62
적정,62
증거,62
처지,62
보위,62
선동,62
구별,62
드높다,62
물리다,62
등장,62
대응,62
실업,62
보답,62
농공,62
불신,62
인격,62
조절,62
육군,61
헤치다,61
에너지,61
낙후,61
열강,61
위업,61
절차,61
알리다,61
다행히,61
권익,61
책임자,61
십자군,61
관념,61
격동,61
선택,61
어제,61
고취,61
한결같이,60
천명,60
겨우,60
감회,60
조달,60
불가침,60
조세,60
계시다,60
기름,60
외세,60
발자취,60
뒤따르다,60
남다르다,60
극대,60
강대국,60
단순,60
경축사,60
승화,60
유류,60
일원,60
수범,59
서정,59
왜적,59
무대,59
일삼다,59
원자재,59
이룩하다,59
관심사,59
존엄,59
상기,59
건립,59
전환점,59
가득,59
측면,59
수산,59
잠시,59
강토,59
개간,58
학문,58
기운,58
불타다,58
바야흐로,58
저항,58
신속,58
궐기,58
덩어리,58
구성,58
건조,58
반세기,58
보조,58
분석,58
이스라엘,58
이전,58
참가,58
어깨,58
이날,58
지양,58
며칠,58
변천,58
전적,57
연설,57
외환,57
영국,57
형식,57
이렇게,57
규제,57
갖가지,57
여유,57
열의,57
반도,57
맞추다,57
애쓰다,57
실제,57
파악,57
직시,57
지난번,57
음모,57
선열,57
해소,57
격화,57
왜냐하면,57
현지,57
불의,57
차리다,56
지성,56
무리,56
자위,56
고민,56
극동,56
풍년,56
솔직히,56
다그다,56
강산,56
사례,56
주인,56
대왕,56
훌륭히,56
전원,56
언론인,56
구하다,56
제일,56
중동,56
제외,56
작금,56
지불,55
센터,55
추진력,55
정예,55
전당,55
건국,55
외부,55
나타내다,55
직후,55
애족,55
대망,55
기치,55
굳세다,55
압박,55
감안,55
앞세우다,55
자라나다,55
문호,55
기념식,55
도정,55
조약,55
급변,55
한데,55
노동자,55
다양,55
연습,55
면적,55
조장,55
활로,55
현행,55
주인공,54
학부형,54
내세우다,54
전철,54
선봉,54
단축,54
벌이다,54
관계자,54
부인,54
호혜,54
동네,54
대상,54
장벽,54
신설,54
계층,54
가치관,54
교란,54
부모,54
주시,54
최소한,54
대륙,54
살림,54
다수,54
도약,54
국립,54
획책,54
학자,54
교직자,54
대량,54
입국,54
접어들다,53
핵심,53
갑자기,53
한낱,53
배격,53
초석,53
안심,53
변모,53
훌륭하다,53
회견,53
유익,53
밑거름,53
특징,53
성탄절,53
유통,53
고향,53
증설,53
원활,53
배출,53
만방,53
경기도,53
닉슨,53
시달리다,53
더욱더,53
영세,53
유린,53
간부,53
크나크다,53
국산,53
상대,53
줄이다,52
열쇠,52
젊은이,52
공공,52
치중,52
항구,52
청와대,52
땅굴,52
제기,52
찾아보다,52
짐작,52
한결같다,52
신조,52
노임,52
총동원,52
양곡,52
참뜻,52
월남전,52
세상,52
경인,51
공영,51
낙동강,51
공포,51
표창,51
자재,51
안기다,51
감독,51
토지,51
집결,51
융성,51
따라가다,51
내실,51
웅비,51
못지않다,51
가르치다,51
뤼브케,51
일차,51
강원도,51
희망차다,51
진취,51
책임감,51
맞이,50
진로,50
건의,50
기공,50
침공,50
진통,50
차질,50
해양,50
전복,50
사령부,50
추방,50
문제점,50
거족,50
표명,50
봉급,50
순위,50
설득,50
버스,50
침범,50
대항,50
가만히,50
지주,50
주권,50
장려,50
항거,50
소비자,50
지식인,50
청산,50
세입,50
배경,50
금자탑,50
위장,50
협의,50
제고,50
우월,50
감행,50
지하수,50
열매,50
가동,50
획득,50
일행,50
양심,50
성패,50
학부모,49
학정,49
공익,49
투융자,49
경하,49
수원,49
제주도,49
이행,49
자력,49
좌절,49
충격,49
직업,49
손해,49
해상,49
화랑,49
앞길,49
가중,49
폐허,49
기후,49
설립,49
적응,49
광복절,49
요망,49
전사,49
보험,49
고조,49
배전,49
부처,49
밀수,49
경찰관,49
고생,49
부자,49
바람,49
임기,48
주식,48
부응,48
주둔,48
참되다,48
발생,48
연두,48
언급,48
심의,48
각료,48
혼돈,48
거대,48
몰아내다,48
단련,48
수급,48
던지다,48
견해,48
셋째,48
피하다,48
감정,48
넘어가다,48
열성,47
완벽,47
경상,47
겨루다,47
시골,47
남북한,47
깨끗이,47
중국,47
조합,47
불평,47
여전히,47
찬사,47
일념,47
자초,47
막대하다,47
습득,47
격변,47
봉쇄,47
가급적,47
개정,47
감히,47
북도,47
공로,47
척도,47
영역,47
확정,47
서민,47
패기,47
학술,47
전천후,47
수정,47
청사,47
허용,47
제전,47
적자,47
과오,47
원양,47
말씀드리다,47
뚜렷이,47
혼연일체,47
절감,46
시내,46
거세다,46
수반,46
중추,46
의거,46
압제,46
일관,46
신사,46
재일,46
남파,46
눈앞,46
영동,46
곤란,46
상공인,46
유례,46
유권자,46
기금,46
다행,46
타결,46
공해,46
부단히,46
스카우트,46
군사력,46
중농,45
피우다,45
준법,45
남도,45
다하다,45
점점,45
고등,45
연맹,45
꾸미다,45
목초,45
일하다,45
뿌리다,45
겹치다,45
이만큼,45
구출,45
사단,45
목숨,45
대대적,45
헤아리다,45
근무,45
제헌절,45
체념,45
용납,45
유서,45
신라,45
아프다,45
재개,45
탄압,45
마무리,45
고구마,45
지상군,45
바라보다,45
전달,45
마땅히,44
명제,44
오랫동안,44
민심,44
교장,44
숙녀,44
유가족,44
반석,44
불리,44
외래,44
노골,44
각층,44
여자,44
노동력,44
고급,44
매상,44
일어서다,44
여망,44
찬양,44
명년,44
중차대하다,44
우렁차다,43
군경,43
농수산물,43
